	X1981	X2003
brevispinis	0	0.2725464
zacentrus	0.4056795	0
aleutianus	0	0
alutus	0.4056795	0
reedi	0	0
crameri	0	0
macdonaldi	0	0
ruberrimus	1.0141988	0
melanostomus	0	0
gilli	0	0
phillipsi	0.2028398	0
diploproa	0	0
elongatus	13.9959432	0
semicinctus	1.0141988	4.6332888
saxicola	0	0
dallii	2.8397566	0.8176392
rastrelliger	2.0283976	0.8176392
auriculatus	15.2129817	49.8759914
nebulosus	2.2312373	0
maliger	0	0
caurinus	29.0060852	76.5855387
atrovirens	13.3874239	41.9721458
carnatus	9.7363083	25.3468153
chrysomelas	1.6227181	0
pinniger	14.6044625	0.2725464
miniatus	49.6957404	333.0517021
goodei	165.3144016	0
jordani	0.6085193	0
paucispinis	473.7105187	1.0901856
entomelas	14.6044625	0.8176392
mystinus	197.3630832	68.4091467
flavidus	32.8600406	1.6352784
melanops	1.6227181	0
serranoides	67.7484787	40.8819602
levis	5.2738337	0
rufus	21.703854	4.088196
ovalis	32.4543611	5.9960208
hopkinsi	21.5010142	23.9840833
babcocki	0	0
nigrocinctus	1.0141988	0
rubrivinctus	15.4158215	9.539124
serriceps	4.4624746	25.8919081
ensifer	7.505071	0
helvomaculatus	0	0
simulator	0	0
eos	3.4482759	0
chlorostictus	23.7322515	0.8176392
rosenblatti	6.2880325	0
rosaceus	19.6754564	41.9721458
lentiginosus	0	0
umbrosus	1.2170385	55.3269194
constellatus	24.7464503	20.7135265
